param Pload: 1  2  3  4 := 
1	172.8	216	162	183.6
2	155.2	194	145.5	164.9
3	288	360	270	306
4	118.4	148	111	125.8
5	113.6	142	106.5	120.7
6	217.6	272	204	231.2
7	200	250	187.5	212.5
8	273.6	342	256.5	290.7
9	280	350	262.5	297.5
10	312	390	292.5	331.5
11	0	0	0	0
12	0	0	0	0
13	1192	1490	1117.5	1266.5
14	128.64	160.8	120.6	136.68
15	210.24	262.8	197.1	223.38
16	160	200	150	170
17	0	0	0	0
18	532.8	666	499.5	566.1
19	120.16	150.2	112.65	127.67
20	84.96	106.2	79.65	90.27
21	0	0	0	0
22	0	0	0	0
23	0	0	0	0
24	0	0	0	0;
