1	1	60	0	163.02 
2	1	60	0	163.02
3	1	160	0	19.64
4	1	160	0	19.64
5	2	60	0	163.02
6	2	60	0	163.02
7	2	160	0	19.64
8	2	160	0	19.64
9	7	200	0	75.64
10	7	200	0	75.64
11	7	200	0	75.64
12	13	394	0	74.75
13	13	394	0	74.75
14	13	394	0	74.75
15	14	40	0	30
16	15	40	0	94.74
17	15	40	0	94.74
18	15	40	0	94.74
19	15	40	0	94.74
20	15	40	0	94.74
21	15	310	0	15.46
22	16	310	0	15.46
23	18	800	0	5.46
24	21	800	0	5.46
25	22	100	0	30
26	22	100	0	30
27	22	100	0	30
28	22	100	0	30
29	22	100	0	30
30	22	100	0	30
31	23	310	0	15.46
32	23	310	0	15.46
33	23	700	0	15.89
