1	1	2	0.014	195
2	1	3	0.211	195
3	1	5	0.085	195
4	2	4	0.127	195
5	2	6	0.192	195
6	3	9	0.119	195
7	3	24	0.084	400
8	4	9	0.104	195
9	5	10	0.088	195
10	6	10	0.061	195
11	7	8	0.061	195
12	8	9	0.165	195
13	8	10	0.165	195
14	9	11	0.084	400
15	9	12	0.084	400
16	10	11	0.084	400
17	10	12	0.084	400
18	11	13	0.048	415
19	11	14	0.042	415
20	12	13	0.048	415
21	12	23	0.097	415
22	13	23	0.087	415
23	14	16	0.059	415
24	15	16	0.017	415
25	15	21	0.049	415
26	15	21	0.049	415
27	15	24	0.052	415
28	16	17	0.026	550
29	16	19	0.023	550
30	17	18	0.014	550
31	17	22	0.105	415
32	18	21	0.026	415
33	18	21	0.026	415
34	19	20	0.04	415
35	19	20	0.04	415
36	20	23	0.022	415
37	20	23	0.022	415
38	21	22	0.068	415
