param LoadPct: 1  2   3   4  :=
1	0.65	0.65	0.6	0.7
2	0.65	0.586	0.6	0.65
3	0.6	0.558	0.55	0.65
4	0.6	0.549	0.55	0.65
5	0.6	0.65	0.55	0.65
6	0.65	0.75	0.65	0.7
7	0.7	0.9	0.7	0.7
8	0.8	0.9	0.8	0.85
9	0.8	0.85	0.8	0.8
10	0.75	0.8	0.75	0.8
11	0.75	0.8	0.75	0.8
12	0.8	0.85	0.8	0.85
13	0.75	0.85	0.75	0.85
14	0.75	0.86	0.7	0.8
15	0.75	0.86	0.7	0.8
16	0.75	0.86	0.7	0.8
17	0.8	0.9	0.8	0.8
18	0.9	0.95	0.9	0.85
19	0.9	0.95	0.9	0.9
20	0.85	0.92	0.85	0.9
21	0.8	0.9	0.8	0.85
22	0.75	0.86	0.75	0.8
23	0.75	0.75	0.75	0.7
24	0.65	0.7	0.65	0.7;
